N,p,lag,cap,K,short,scheme,CAGR,vol,Sharpe,MDD,Calmar
315,0.2,0,2,1,0.0,LP,0.20849924942064724,0.349557972002984,0.7180680151845636,-0.5690431277820023,0.3664032465049333
210,0.4,1,2,3,0.0,LP,0.13875041555297996,0.21303177473750037,0.7170796109356837,-0.31657561268756373,0.43828523105447215
126,0.2,0,3,1,0.0,LP,0.2656302383725455,0.5159238103081036,0.7169362776069386,-0.7543972782759286,0.35210922152265306
126,0.4,0,3,4,0.0,LP,0.14073944431103746,0.21691702078651776,0.7167762876703865,-0.3649482116487627,0.3856422358536981
147,0.4,1,2,1,0.0,LP,0.15741092417453761,0.2468822771215829,0.7165448652866906,-0.39576466986364267,0.3977386971625643
126,0.3,0,4,1,0.0,LP,0.2434395760212138,0.44173533898517153,0.7162210725750523,-0.5796101417328987,0.42000572193817454
147,0.3,1,4,1,0.0,LP,0.2557493470650565,0.4811919687848444,0.7161286949845768,-0.6316000404835984,0.40492294279974456
315,0.3,0,2,1,0.0,LP,0.16422579150353345,0.25995156027436,0.7158914221908554,-0.49408808696189177,0.3323816052990566
210,0.3,1,3,1,0.0,LP,0.2236646171339196,0.38841992065888953,0.7156347823767378,-0.5470389715668582,0.40886413721729453
189,0.4,1,3,1,0.0,LP,0.1868094514666101,0.3058301821392595,0.7142664686178383,-0.4458969968479096,0.41895202880303023
231,0.2,0,2,2,0.0,LP,0.20408209759411733,0.34295262036885477,0.714180300166286,-0.5259966965124535,0.38799121543396514
315,0.3,2,4,1,0.0,LP,0.24531990201861387,0.45196983672916846,0.7139231936017723,-0.7469115424545247,0.3284457235892161
210,0.2,0,2,3,0.0,LP,0.2007749878632581,0.3359867227029781,0.7136704631313437,-0.5597988085203881,0.358655618424643
168,0.2,0,3,1,0.0,LP,0.2535029056225122,0.4806566776297434,0.7129746874459633,-0.6293375803894954,0.40280910201742587
168,0.3,0,2,1,0.0,LP,0.17374670451007534,0.28029019080665457,0.7127517520884833,-0.4407222446003969,0.3942317562563959
126,0.3,1,4,1,0.0,LP,0.2629128866870898,0.5164005254141939,0.7124417137176201,-0.7652211207512357,0.34357766605942863
147,0.3,1,2,2,0.0,LP,0.1828956658558556,0.299723223423501,0.7115319424278894,-0.4749878270835082,0.38505337490196456
315,0.3,1,2,4,0.0,LP,0.15644208698737772,0.24766691622346818,0.711417972063416,-0.43063790693801807,0.3632798796086813
231,0.2,0,4,1,0.0,HLP,0.2648607578123381,0.5273853654030832,0.7111663611699806,-0.7197409658951953,0.3679945568791004
147,0.4,2,2,1,0.0,LP,0.1584804278768006,0.25188203753920446,0.7110693366298813,-0.4230975835772016,0.3745718104482699
189,0.4,1,2,3,0.0,LP,0.13565841056084849,0.21022747424892912,0.711029589975135,-0.33270369577794223,0.40774542718452855
210,0.4,1,2,1,0.0,HLP,0.1494177800363481,0.2348208748262351,0.7110055825497223,-0.4024275019887732,0.37129117492699715
210,0.2,0,2,2,0.0,HLP,0.1975408983961371,0.33124781060652786,0.710608010464491,-0.549653060376929,0.359391974022071
168,0.2,0,4,1,0.0,LP,0.2705953088801414,0.5642764640981236,0.7105657847888636,-0.7142576374199631,0.37884832405514635
189,0.4,2,2,4,0.0,LP,0.1407241663089398,0.2196070369277962,0.7100681315525091,-0.3913910718885013,0.35954873888648387
294,0.3,2,2,1,0.0,LP,0.17318158161621833,0.2812290063895351,0.7095396294403667,-0.5498579304955203,0.31495695890054864
273,0.2,0,2,1,0.0,LP,0.20862279837910536,0.3584080437006179,0.7091790389937969,-0.6361366631281659,0.32795279767906255
189,0.4,1,4,1,0.0,LP,0.2058042142053922,0.35200356577828673,0.70916834153043,-0.4914841773012205,0.4187402641026611
210,0.4,2,3,1,0.0,LP,0.19662494877815218,0.33106047786189363,0.7091460246167076,-0.5076950358861345,0.3872894845917916
273,0.3,2,3,1,0.0,LP,0.21959748791725842,0.38658152051064115,0.7088677348999755,-0.6860875561530642,0.32007210442433215
189,0.2,0,2,2,0.0,LP,0.20375433758833061,0.3480621795479869,0.7082443354736295,-0.508099326023277,0.40101280822993307
147,0.3,1,3,1,0.0,LP,0.22952551625645867,0.41395673617411055,0.707884664840071,-0.5915191776227311,0.3880271763612189
315,0.3,2,3,1,0.0,LP,0.21583325476411397,0.3786276447942112,0.707533757081355,-0.6533675613649674,0.3303397161518258
189,0.2,0,4,1,0.0,HLP,0.2632617035837237,0.5318040367552231,0.7074746134812234,-0.7034331648533731,0.37425261807011784
126,0.2,0,2,3,0.0,LP,0.20429540508463506,0.3504660306329509,0.7074357690141752,-0.5296477600446725,0.3857193789838817
315,0.3,2,2,3,0.0,LP,0.1600932827010404,0.2568561087218774,0.7074152583650889,-0.4288534626878382,0.37330532834608837
189,0.3,1,2,2,0.0,LP,0.17556372430083345,0.2876827703720242,0.7072234289399131,-0.4279621323798086,0.41023191310072227
294,0.4,1,2,3,0.0,LP,0.1231601403183551,0.1898799316250538,0.7071121983412351,-0.3305999002736504,0.3725353220506439
