N,p,lag,cap,K,short,scheme,total,CAGR,vol,Sharpe,MDD,Calmar
294,0.2,1,4,2,0.5,HLP,437.3103834902142,0.2614885592677072,0.60560515736308,0.6920352010596258,-0.8083250588685755,0.32349431258968586
231,0.2,0,4,2,0.5,HLP,248.95850590271667,0.23226155543476512,0.44990165357918743,0.6917870745784432,-0.6844649609810365,0.3393330099788703
168,0.2,0,3,2,0.5,HLP,372.9986251211675,0.2485642363456515,0.5087327504111481,0.6915281598839853,-0.799276722114645,0.31098645746622716
126,0.4,2,2,4,0.5,HLP,95.68085147022606,0.1855863086218581,0.31919050034043805,0.6914602357486663,-0.5781342636210152,0.3210090117466479
147,0.3,2,4,2,0.5,LP,1045.5749781013128,0.29659678479335927,0.7871456170488836,0.691396446385491,-0.7943427246633865,0.37338641821015756
147,0.3,0,4,1,0.5,LP,333.6269187986166,0.24252792437124615,0.4850469051651528,0.6908479040559602,-0.6241273485784479,0.3885872409271011
168,0.2,0,3,3,0.5,LP,284.2052797473097,0.23594730875954606,0.4594333889676798,0.6907499069736874,-0.7595249893775451,0.31065114651844755
231,0.2,0,4,2,0.5,LP,269.5291329549504,0.23595338759538098,0.4660125704105483,0.690694297841457,-0.6773890803583718,0.3483277106719083
252,0.2,1,4,2,0.5,LP,439.31931302443894,0.2598552639333125,0.5798911363365887,0.6904799495294557,-0.7570190268761101,0.34326120573960034
168,0.4,2,3,1,0.5,LP,173.69672300487449,0.21345356301475937,0.3893328282374781,0.689434566971378,-0.5754039145043008,0.3709630011791724
126,0.3,0,3,1,0.5,LP,244.8155305451051,0.2275104638068166,0.43622056058049086,0.6890774474157547,-0.6461871791541194,0.3520813645740162
147,0.3,0,3,1,0.5,LP,204.65231334956786,0.22013586353221393,0.4132587538997793,0.6890456122220472,-0.5582604750660825,0.39432464479265883
189,0.2,0,3,3,0.5,HLP,183.00930090899567,0.21656184628837605,0.4087285355906871,0.6890358992659121,-0.7637495800792605,0.283550854804924
168,0.2,0,4,2,0.5,LP,532.6607898482148,0.26530845347783116,0.5934987864528487,0.6889134321584348,-0.8303403726153857,0.31951770891516346
147,0.4,2,3,2,1.0,HLP,302.27862186597696,0.2379707016351671,0.4700970584975566,0.6887512176548755,-0.622124378716467,0.3825130629443187
126,0.2,0,4,2,0.5,LP,537.6450896647909,0.2638992891464076,0.615126414741959,0.6886784939774008,-0.8161569570957097,0.32334379662153695
189,0.3,2,4,1,0.5,LP,485.36571524087714,0.261832156386655,0.8134284108086152,0.6883104386949882,-0.9497773146015922,0.2756774165494646
315,0.2,1,4,2,0.5,LP,380.9641149660261,0.2557871540668606,0.5715526986395314,0.688141078808441,-0.6923325445004138,0.36945707102565317
147,0.3,2,2,1,0.5,LP,445.51380148569336,0.25598897553675104,0.5291994601356873,0.6880000481714311,-0.6147289961678525,0.41642573741039696
231,0.2,1,2,2,0.5,LP,167.98801160017692,0.21414887901847557,0.3990622343436631,0.687861719395262,-0.5328177383762782,0.40191769829412605
168,0.4,2,3,1,0.5,HLP,195.2353265911888,0.21875165849830513,0.4063684908017151,0.6876602737446883,-0.5754039145043008,0.3801706123024126
126,0.4,2,3,2,0.5,LP,191.79634291542757,0.21645497511782819,0.4015573121126975,0.6874767309348723,-0.6011866631119971,0.36004620261761205
231,0.2,0,3,2,0.5,LP,187.3839416889403,0.21914931359769674,0.41503385671279924,0.6874155342994169,-0.6226469321094618,0.3519640141086733
189,0.2,0,4,3,0.5,HLP,235.79614517399315,0.22815039502440548,0.4488930607349566,0.687400285239886,-0.7637495800792605,0.2987240857150173
315,0.2,1,2,1,0.5,LP,153.85440132405787,0.2130952792046621,0.3965179598150617,0.6873924418275712,-0.5602792241214828,0.38033764242962115
126,0.2,0,2,3,0.5,LP,188.95906025760874,0.21578354666045896,0.404424377393418,0.6872404625819916,-0.6333135498080322,0.3407215063152628
147,0.4,2,4,2,1.0,HLP,418.6946667146569,0.2530860971954674,0.536529208111578,0.6872043595074454,-0.6851262463890095,0.36940067400624294
168,0.3,0,2,2,0.5,HLP,68.93618142123577,0.1725325010729184,0.29529066371076323,0.686987584265505,-0.5782826546463471,0.2983532355443583
147,0.4,1,4,1,0.5,LP,245.41534163114466,0.22840583983714224,0.4407486535866853,0.6869025452633931,-0.6052187769249898,0.3773938425995838
126,0.2,0,2,2,0.5,LP,224.1722883233582,0.2235073585314904,0.4288786481463886,0.6867614066492017,-0.6212908454023756,0.35974674371185544
294,0.2,1,2,2,0.5,LP,150.75176045551717,0.2114131170739708,0.3929134857434327,0.6866029521399151,-0.5557354365843653,0.38042043597822023
126,0.4,2,4,2,0.5,LP,286.93627517009645,0.23476149503232335,0.4583800578222547,0.6862763355661917,-0.6803076846761711,0.34508135115961636
273,0.2,1,3,2,0.5,LP,320.8007585459642,0.2458190740430679,0.5175527528107651,0.6862542702525296,-0.6909429020110373,0.3557733545385508
168,0.3,0,2,1,0.5,HLP,87.89505591869107,0.18311939415703415,0.3198593348294933,0.6861739707506446,-0.5901687170378218,0.3102831256054168
